Date,avg_step,avg_dist,calories
2016-05-05,8731.03,6.22,2415.07
2016-04-16,8679.16,6.29,2392.94
2016-05-03,8558.72,6.09,2453.9
2016-04-23,8347.63,5.84,2397.16
2016-04-30,8346.0,6.1,2373.94
2016-05-09,8248.81,5.96,2335.67
2016-04-21,8243.59,6.03,2421.88
2016-04-12,8236.85,5.98,2390.7
2016-04-20,8162.97,5.95,2395.22
2016-04-27,8078.63,5.92,2328.56
2016-04-19,8048.66,5.87,2359.09
2016-05-10,7951.42,5.67,2229.35
2016-04-25,7932.78,5.63,2349.56
2016-04-18,7896.97,5.66,2333.38
2016-04-26,7834.0,5.53,2331.38
2016-04-14,7743.58,5.6,2356.39
2016-04-28,7593.63,5.36,2316.06
2016-04-15,7533.85,5.29,2355.18
2016-05-11,7519.5,5.49,2190.08
2016-05-06,7492.66,5.46,2375.07
2016-04-22,7446.38,5.33,2327.66
2016-04-24,7394.41,5.47,2291.44
2016-04-29,7321.53,5.18,2272.56
2016-04-13,7198.73,5.1,2286.64
2016-05-07,7151.24,5.12,2246.24
2016-05-02,7049.45,4.97,2275.45
2016-05-08,7049.41,5.14,2303.44
2016-05-01,6895.67,4.97,2230.43
2016-05-04,6763.76,4.94,2283.14
2016-04-17,6409.25,4.54,2230.97
2016-05-12,3482.33,2.44,1139.29